,Date,Price,Open,High,Low,Change,DATE,DAILY TONNAGE,Tonnage,Grade,RecoveryPct,Gold_Return,Cumulative_Tonnage,Recovery_MA7
0,2013-07-01,1256.3,1235.3,1260.1,1225.0,0.0262,2013-07-01,113,113,165.0,84.24242424242424,0.001292794565377417,113,86.87607606747756
1,2013-07-04,1212.7,1252.7,1257.1,1206.9,-0.0318,2013-07-04,78,78,249.0,88.1661572659072,-0.03470508636472169,191,86.87607606747756
2,2013-12-30,1204.1,1204.1,1204.1,1204.1,-0.0082,2013-12-30,83,83,527.0,93.5483870967742,-0.0070916137544323465,274,86.87607606747756
3,2014-04-10,1320.5,1311.9,1324.9,1311.0,0.0112,2014-04-10,158,158,305.0,91.47540983606557,0.09666971181795536,432,86.87607606747756
4,2014-07-01,1326.7,1328.9,1330.1,1325.2,0.0035,2014-07-01,166,166,167.0,85.02994011976048,0.004695191215448702,598,86.87607606747756
5,2014-07-04,1317.0,1321.4,1321.7,1312.1,-0.0031,2014-07-04,117,117,165.0,87.27272727272727,-0.007311374086078293,715,86.87607606747756
6,2014-07-07,1317.6,1320.8,1318.7,1314.0,0.0005,2014-07-07,80,80,175.0,83.42857142857143,0.00045558086560348876,795,87.59480246603292
7,2014-07-14,1307.3,1341.0,1341.0,1305.7,-0.0229,2014-07-14,72,72,208.0,83.17307692307693,-0.007817243472981183,867,87.44203856326901
8,2014-07-21,1314.5,1311.2,1319.1,1310.3,0.0034,2014-07-21,109,109,267.0,87.26591760299625,0.005507534613325316,976,87.31343289713888
9,2014-07-28,1304.1,1305.9,1309.6,1302.4,0.0001,2014-07-28,149,149,245.0,89.79591836734694,-0.007911753518448195,1125,86.77736593579212
10,2014-08-04,1288.3,1294.9,1295.5,1286.4,-0.0045,2014-08-04,144,144,234.0,84.1880341880342,-0.012115635304041028,1269,85.73631227178764
11,2014-08-11,1309.7,1310.0,1311.9,1305.6,-0.0003,2014-08-11,166,166,250.0,85.6,0.016611037801754325,1435,85.81774939753613
12,2014-08-18,1298.5,1304.7,1304.7,1295.8,-0.0053,2014-08-18,158,158,326.0,91.41104294478528,-0.0085515766969535,1593,86.40893735068728
13,2014-08-25,1278.0,1279.3,1280.8,1274.1,-0.001,2014-08-25,152,152,340.0,90.0,-0.01578744705429347,1745,87.34771286089138
14,2014-09-01,1265.0,1288.5,1290.9,1263.1,-0.0172,2014-09-01,112,112,234.0,91.45299145299144,-0.010172143974960912,1857,88.53055779373629
15,2014-09-08,1253.9,1268.3,1268.3,1268.3,-0.0103,2014-09-08,77,77,310.0,90.6451612903226,-0.008774703557312136,1934,89.0133068919258
16,2014-09-15,1234.5,1232.4,1235.8,1232.4,0.0029,2014-09-15,92,92,290.0,89.65517241379311,-0.015471728207991142,2026,88.99320032713237
17,2014-09-22,1217.3,1215.9,1220.0,1211.7,0.0011,2014-09-22,94,94,290.0,89.3103448275862,-0.013932766302146682,2120,89.72495898992553
18,2014-09-29,1218.8,1219.1,1223.9,1215.3,0.0033,2014-09-29,66,66,341.0,90.32258064516128,0.0012322352747884402,2186,90.3996133678057
19,2014-10-06,1207.3,1192.0,1209.9,1183.3,0.0121,2014-10-06,138,138,249.0,88.1661572659072,-0.009435510338037467,2324,89.93605827082312
20,2014-10-13,1230.0,1224.8,1238.0,1223.6,0.0068,2014-10-13,174,174,297.0,89.8989898989899,0.01880228609293466,2498,89.9216282563931
21,2014-10-20,1244.7,1239.1,1249.3,1234.9,0.0046,2014-10-20,119,119,283.0,87.63250883392226,0.011951219512195133,2617,89.37584502509752
22,2014-10-27,1229.3,1230.6,1232.1,1225.2,-0.002,2014-10-27,125,125,187.0,86.63101604278076,-0.012372459227123045,2742,88.8023957040201
23,2014-11-03,1170.2,1168.8,1173.0,1166.8,-0.0015,2014-11-03,72,72,260.0,91.53846153846152,-0.04807614089319112,2814,89.07143700754418
24,2014-11-10,1160.2,1177.9,1178.0,1147.5,-0.0085,2014-11-10,98,98,349.0,94.26934097421204,-0.008545547769612027,2912,89.7798650284907
